,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
0,0,0,3566504,11869.75,42.0,3771.0,3739.0,1690.0,90691.9,2627.75,9200.0,0.405769423730234,0.11589789165294805,10803.225,3601.0749999999994,0.4764802589867452,-0.094230576269766,-0.18410210834705193,0.27648025898674516
1,1,1,3566514,7753.0,465.0,772.0,3689.0,1365.0,63421.0,1462.0,5826.0,0.3674492675927532,0.09220920515286736,8102.25,2700.75,0.5110137020860598,-0.1325507324072468,-0.20779079484713264,0.3110137020860598
2,2,2,3566534,77432.75,4191.0,5536.0,24224.75,3931.0,-191620.6,39550.0,33691.75,-0.7033012108301508,-0.8255897330454033,-125337.9,-41779.3,2.6163763186212754,-1.2033012108301508,-1.1255897330454032,2.416376318621275
3,3,3,3566544,16488.75,1151.0,3351.0,2593.0,3640.0,136908.0,5753.75,9584.0,0.28001285534811704,0.16810558915476087,17738.25,5912.75,0.5182531334911035,-0.21998714465188296,-0.13189441084523912,0.31825313349110346
4,4,4,3566624,8518.3,0.0,2805.0,2733.5,1885.0,54347.4,1094.7999999999993,7423.5,0.5463738835712472,0.08057791173082791,5068.550000000001,1689.5166666666669,0.3730482046979249,0.046373883571247165,-0.2194220882691721,0.17304820469792487
5,5,5,3566634,18100.3,385.0,335.0,11116.0,3055.0,127208.6,3209.2999999999993,14506.0,0.4561326828532033,0.10091456080799566,13701.850000000002,4567.283333333334,0.4308466565939725,-0.0438673171467967,-0.19908543919200433,0.23084665659397247
6,6,6,3566644,7138.75,299.0,1748.0,1467.0,2560.0,25620.0,1064.75,5775.0,0.9016393442622952,0.16623731459797034,-733.75,-244.58333333333331,-0.11455893832943012,0.4016393442622952,-0.13376268540202965,-0.31455893832943016
7,7,7,3566664,1510.0,0.0,0.0,450.0,910.0,11882.4,150.0,1360.0,0.4578199690298256,0.05049484952534842,1460.6,486.8666666666666,0.4916851814448259,-0.04218003097017442,-0.24950515047465158,0.2916851814448259
8,8,8,3566704,5143.35,288.0,278.0,2370.0,1235.0,16501.0,972.3500000000003,3883.0,0.9412762862856796,0.23570692685291805,-1018.1000000000003,-339.3666666666668,-0.2467971638082541,0.4412762862856796,-0.06429307314708194,-0.44679716380825407
9,9,9,3566714,4356.95,0.0,0.0,2192.0,1027.0,63684.1,1137.9499999999996,3219.0,0.20218547486735308,0.0714746695014925,11564.075,3854.691666666667,0.7263398556311544,-0.29781452513264695,-0.22852533049850748,0.5263398556311545
10,10,10,3566754,11952.5,265.0,1725.0,4085.0,2210.0,66242.4,3667.5,8020.0,0.4842819704600075,0.22145936741422412,4608.0999999999985,1536.0333333333328,0.27825682644348626,-0.015718029539992517,-0.07854063258577587,0.07825682644348625
11,11,11,3566764,99687.26,1835.0,28215.0,22385.5,1578.0,160288.2,45673.76,52178.5,1.3021170616427158,1.1397909515485232,-59615.20999999999,-19871.736666666664,-1.4877005294213794,0.8021170616427158,0.8397909515485231,-1.6877005294213794
12,12,12,3566784,5084.0,218.0,195.0,3174.0,650.0,19248.0,847.0,4019.0,0.8352036575228595,0.17601828761429758,-272.0,-90.66666666666669,-0.05652535328345803,0.3352036575228595,-0.12398171238570241,-0.25652535328345805
13,13,13,3566864,21384.35,1094.0,1445.0,6966.0,2490.0,123651.6,9389.35,10901.0,0.3526359545691281,0.3037356572822349,9528.550000000003,3176.1833333333343,0.3082386317686145,-0.1473640454308719,0.0037356572822349055,0.10823863176861448
14,14,14,3566924,11547.4,183.0,300.0,5961.0,3120.0,46353.4,1983.4,9381.0,0.8095199057674302,0.1711546510072616,40.95000000000073,13.650000000000244,0.0035337213667174993,0.30951990576743016,-0.1288453489927384,-0.1964662786332825
15,15,15,3566934,7949.0,106.0,1158.0,4324.0,1346.0,13155.4,1015.0,6828.0,2.076105629627377,0.3086185140702677,-4660.15,-1553.3833333333332,-1.4169542545266582,1.576105629627377,0.008618514070267702,-1.6169542545266582
16,16,16,3566944,8305.0,248.0,1152.0,2033.0,1170.0,26405.0,3702.0,4355.0,0.6597235372088621,0.5608028782427571,-1703.75,-567.9166666666666,-0.2580950577542132,0.15972353720886212,0.2608028782427571,-0.4580950577542132
17,17,17,3566954,10543.05,254.0,920.0,4640.0,2795.0,49013.8,1934.0499999999995,8355.0,0.6818487854440993,0.1578371805491514,1710.4000000000015,570.1333333333338,0.1395851780518957,0.18184878544409933,-0.14216281945084858,-0.060414821948104325
